x,y,sxx,sxy,syy
3,0.3,-58.8886,-8.88126,0.0853304
3.1,0.3,-57.2206,-8.75439,0.0853304
3.2,0.3,-55.5766,-8.62751,0.0853304
3.3,0.3,-53.9566,-8.50064,0.0853304
3.4,0.3,-52.3606,-8.37376,0.0853304
3.5,0.3,-50.7886,-8.24689,0.0853304
3.6,0.3,-49.2406,-8.12001,0.0853304
3.7,0.3,-47.7166,-7.99314,0.0853304
3.8,0.3,-46.2166,-7.86626,0.0853304
3.9,0.3,-44.7406,-7.73939,0.0853304
4,0.3,-43.2886,-7.61251,0.0853304
4.1,0.3,-41.8606,-7.48564,0.0853304
4.2,0.3,-40.4566,-7.35876,0.0853304
4.3,0.3,-39.0766,-7.23188,0.0853304
4.4,0.3,-37.7206,-7.10501,0.0853304
4.5,0.3,-36.3886,-6.97813,0.0853304
4.6,0.3,-35.0806,-6.85126,0.0853304
4.7,0.3,-33.7966,-6.72438,0.0853304
4.8,0.3,-32.5366,-6.59751,0.0853304
4.9,0.3,-31.3006,-6.47063,0.0853304
5,0.3,-30.0886,-6.34376,0.0853304
5.1,0.3,-28.9006,-6.21688,0.0853304
5.2,0.3,-27.7366,-6.09001,0.0853304
5.3,0.3,-26.5966,-5.96313,0.0853304
5.4,0.3,-25.4806,-5.83626,0.0853304
5.5,0.3,-24.3886,-5.70938,0.0853304
5.6,0.3,-23.3206,-5.58251,0.0853304
5.7,0.3,-22.2766,-5.45563,0.0853304
5.8,0.3,-21.2566,-5.32876,0.0853304
5.9,0.3,-20.2606,-5.20188,0.0853304
6,0.3,-19.2886,-5.07501,0.0853304
6.1,0.3,-18.3406,-4.94813,0.0853304
6.2,0.3,-17.4166,-4.82126,0.0853304
6.3,0.3,-16.5166,-4.69438,0.0853304
6.4,0.3,-15.6406,-4.56751,0.0853304
6.5,0.3,-14.7886,-4.44063,0.0853304
6.6,0.3,-13.9606,-4.31376,0.0853304
6.7,0.3,-13.1566,-4.18688,0.0853304
6.8,0.3,-12.3766,-4.06001,0.0853304
6.9,0.3,-11.6206,-3.93313,0.0853304
7,0.3,-10.8886,-3.80626,0.0853304
7.1,0.3,-10.1806,-3.67938,0.0853304
7.2,0.3,-9.49656,-3.5525,0.0853304
7.3,0.3,-8.83656,-3.42563,0.0853304
7.4,0.3,-8.20056,-3.29875,0.0853304
7.5,0.3,-7.58856,-3.17188,0.0853304
7.6,0.3,-7.00056,-3.045,0.0853304
7.7,0.3,-6.43656,-2.91813,0.0853304
7.8,0.3,-5.89656,-2.79125,0.0853304
7.9,0.3,-5.38056,-2.66438,0.0853305
8,0.3,-4.88856,-2.5375,0.0853305
8.1,0.3,-4.42056,-2.41063,0.0853306
8.2,0.3,-3.97656,-2.28375,0.0853309
8.3,0.3,-3.55657,-2.15688,0.0853314
8.4,0.3,-3.16057,-2.03,0.0853321
8.5,0.3,-2.78857,-1.90313,0.0853331
8.6,0.3,-2.44057,-1.77625,0.0853339
8.7,0.3,-2.11658,-1.64938,0.0853323
8.8,0.3,-1.81658,-1.5225,0.0853225
8.9,0.3,-1.54058,-1.39562,0.0852898
9,0.3,-1.28855,-1.26873,0.0852006
9.1,0.3,-1.06043,-1.14184,0.084984
9.2,0.3,-0.856091,-1.01495,0.0845015
9.3,0.3,-0.675251,-0.888073,0.0835075
9.4,0.3,-0.517336,-0.761256,0.0816228
9.5,0.3,-0.381308,-0.634639,0.0784038
9.6,0.3,-0.265494,-0.508529,0.0737401
9.7,0.3,-0.167725,-0.383492,0.0691268
9.8,0.3,-0.0865405,-0.26007,0.0708839
9.9,0.3,-0.024929,-0.136782,0.0968509
10,0.3,0.00324117,-0.00283895,0.186858
0,0.4,-53.3534,6.98755,-16.0186
0.1,0.4,-55.9384,-5.59704,-9.71619
0.2,0.4,-57.3803,-11.9192,-4.54167
0.3,0.4,-57.3002,-14.1793,-1.50655
0.4,0.4,-56.2581,-14.572,-0.186209
0.5,0.4,-54.8772,-14.341,0.22023
0.6,0.4,-53.4824,-13.9943,0.263724
0.7,0.4,-52.1728,-13.6857,0.206429
0.8,0.4,-50.9506,-13.4374,0.143897
0.9,0.4,-49.7927,-13.2352,0.099896
1,0.4,-48.6775,-13.0613,0.0739298
1.1,0.4,-47.5903,-12.9029,0.0601801
1.2,0.4,-46.5228,-12.7521,0.0534885
1.3,0.4,-45.4708,-12.605,0.0504782
1.4,0.4,-44.4322,-12.4593,0.0492365
1.5,0.4,-43.4061,-12.3143,0.0487799
1.6,0.4,-42.3921,-12.1694,0.0486421
1.7,0.4,-41.3902,-12.0246,0.0486188
1.8,0.4,-40.4002,-11.8797,0.0486284
1.9,0.4,-39.4223,-11.7349,0.0486423
2,0.4,-38.4563,-11.59,0.0486528
2.1,0.4,-37.5023,-11.4451,0.0486592
2.2,0.4,-36.5603,-11.3003,0.0486627
2.3,0.4,-35.6303,-11.1554,0.0486645
2.4,0.4,-34.7123,-11.0105,0.0486653
2.5,0.4,-33.8063,-10.8656,0.0486656
2.6,0.4,-32.9123,-10.7208,0.0486657
2.7,0.4,-32.0303,-10.5759,0.0486658
2.8,0.4,-31.1603,-10.431,0.0486658
2.9,0.4,-30.3023,-10.2861,0.0486658
3,0.4,-29.4563,-10.1413,0.0486658
3.1,0.4,-28.6223,-9.99639,0.0486658
3.2,0.4,-27.8003,-9.85152,0.0486658
3.3,0.4,-26.9903,-9.70664,0.0486658
3.4,0.4,-26.1923,-9.56177,0.0486658
3.5,0.4,-25.4063,-9.41689,0.0486658
3.6,0.4,-24.6323,-9.27201,0.0486658
3.7,0.4,-23.8703,-9.12714,0.0486658
3.8,0.4,-23.1203,-8.98226,0.0486658
3.9,0.4,-22.3823,-8.83739,0.0486658
4,0.4,-21.6563,-8.69251,0.0486658
4.1,0.4,-20.9423,-8.54764,0.0486658
4.2,0.4,-20.2403,-8.40276,0.0486658
4.3,0.4,-19.5503,-8.25789,0.0486658
4.4,0.4,-18.8723,-8.11301,0.0486658
4.5,0.4,-18.2063,-7.96814,0.0486658
4.6,0.4,-17.5523,-7.82326,0.0486658
4.7,0.4,-16.9103,-7.67839,0.0486658
4.8,0.4,-16.2803,-7.53351,0.0486658
4.9,0.4,-15.6623,-7.38864,0.0486658
5,0.4,-15.0563,-7.24376,0.0486658
5.1,0.4,-14.4623,-7.09889,0.0486658
5.2,0.4,-13.8803,-6.95401,0.0486658
5.3,0.4,-13.3103,-6.80914,0.0486658
5.4,0.4,-12.7523,-6.66426,0.0486658
5.5,0.4,-12.2063,-6.51939,0.0486658
5.6,0.4,-11.6723,-6.37451,0.0486658
5.7,0.4,-11.1503,-6.22963,0.0486658
5.8,0.4,-10.6403,-6.08476,0.0486658
5.9,0.4,-10.1423,-5.93988,0.0486658
6,0.4,-9.65628,-5.79501,0.0486658
6.1,0.4,-9.18228,-5.65013,0.0486658
6.2,0.4,-8.72028,-5.50526,0.0486658
6.3,0.4,-8.27028,-5.36038,0.0486658
6.4,0.4,-7.83228,-5.21551,0.0486658
6.5,0.4,-7.40628,-5.07063,0.0486658
6.6,0.4,-6.99228,-4.92576,0.0486658
6.7,0.4,-6.59028,-4.78088,0.0486658
6.8,0.4,-6.20028,-4.63601,0.0486658
6.9,0.4,-5.82228,-4.49113,0.0486658
7,0.4,-5.45628,-4.34626,0.0486658
7.1,0.4,-5.10228,-4.20138,0.0486658
7.2,0.4,-4.76028,-4.05651,0.0486658
7.3,0.4,-4.43028,-3.91163,0.0486658
7.4,0.4,-4.11228,-3.76676,0.0486658
7.5,0.4,-3.80628,-3.62188,0.0486658
7.6,0.4,-3.51228,-3.47701,0.0486658
