ux,uy,x,y
0.00290744,-0.012925,2.30769,0.8
0.00313436,-0.0156143,2.5641,0.8
0.0033431,-0.0185002,2.82051,0.8
0.00353423,-0.0215692,3.07692,0.8
0.00370833,-0.0248083,3.33333,0.8
0.00386601,-0.028205,3.58974,0.8
0.0040079,-0.0317471,3.84615,0.8
0.00413463,-0.0354232,4.10256,0.8
0.00424685,-0.039222,4.35897,0.8
0.00434522,-0.0431331,4.61538,0.8
0.00443039,-0.0471461,4.87179,0.8
0.00450305,-0.0512516,5.12821,0.8
0.00456385,-0.0554401,5.38462,0.8
0.00461347,-0.0597031,5.64103,0.8
0.00465257,-0.0640323,5.89744,0.8
0.00468184,-0.0684198,6.15385,0.8
0.00470193,-0.0728583,6.41026,0.8
0.0047135,-0.0773411,6.66667,0.8
0.00471722,-0.0818618,6.92308,0.8
0.00471374,-0.0864144,7.17949,0.8
0.00470369,-0.0909936,7.4359,0.8
0.00468773,-0.0955944,7.69231,0.8
0.00466647,-0.100212,7.94872,0.8
0.00464055,-0.104843,8.20513,0.8
0.00461058,-0.109484,8.46154,0.8
0.00457716,-0.114131,8.71795,0.8
0.0045409,-0.118782,8.97436,0.8
0.00450239,-0.123435,9.23077,0.8
0.0044622,-0.128088,9.48718,0.8
0.00442089,-0.13274,9.74359,0.8
0.00437897,-0.137391,10,0.8
0,0,0,0.9
0.000523432,-0.000335406,0.25641,0.9
0.00103769,-0.000911285,0.512821,0.9
0.00152656,-0.00180295,0.769231,0.9
0.00198824,-0.00299948,1.02564,0.9
0.00242272,-0.00448391,1.28205,0.9
0.00283044,-0.00623969,1.53846,0.9
0.00321196,-0.00825092,1.79487,0.9
0.00356789,-0.0105022,2.05128,0.9
0.00389891,-0.0129785,2.30769,0.9
0.00420569,-0.0156655,2.5641,0.9
0.00448897,-0.0185492,2.82051,0.9
0.00474948,-0.0216161,3.07692,0.9
0.004988,-0.0248531,3.33333,0.9
0.00520531,-0.0282478,3.58974,0.9
0.00540224,-0.031788,3.84615,0.9
0.00557959,-0.0354622,4.10256,0.9
0.0057382,-0.0392593,4.35897,0.9
0.00587891,-0.0431687,4.61538,0.9
0.00600256,-0.0471802,4.87179,0.9
0.00611001,-0.0512841,5.12821,0.9
0.00620211,-0.0554711,5.38462,0.9
0.00627972,-0.0597327,5.64103,0.9
0.00634368,-0.0640605,5.89744,0.9
0.00639486,-0.0684467,6.15385,0.9
0.0064341,-0.072884,6.41026,0.9
0.00646225,-0.0773657,6.66667,0.9
0.00648015,-0.0818852,6.92308,0.9
0.00648863,-0.0864368,7.17949,0.9
0.00648853,-0.091015,7.4359,0.9
0.00648066,-0.0956149,7.69231,0.9
0.00646585,-0.100232,7.94872,0.9
0.0064449,-0.104862,8.20513,0.9
0.0064186,-0.109502,8.46154,0.9
0.00638776,-0.114149,8.71795,0.9
0.00635315,-0.118799,8.97436,0.9
0.00631555,-0.123452,9.23077,0.9
0.00627573,-0.128105,9.48718,0.9
0.00623445,-0.132757,9.74359,0.9
0.00619248,-0.137408,10,0.9
0,0,0,1
0.000680215,-0.000426132,0.25641,1
0.00131675,-0.00100539,0.512821,1
0.00192644,-0.00189338,0.769231,1
0.00250344,-0.00308564,1.02564,1
0.00304692,-0.00456592,1.28205,1
0.00355738,-0.00631776,1.53846,1
0.00403559,-0.00832524,1.79487,1
0.00448233,-0.0105729,2.05128,1
0.00489845,-0.0130459,2.30769,1
0.00528482,-0.0157296,2.5641,1
0.00564236,-0.0186102,2.82051,1
0.00597198,-0.021674,3.07692,1
0.00627465,-0.0249082,3.33333,1
0.00655133,-0.0283001,3.58974,1
0.00680302,-0.0318377,3.84615,1
0.00703073,-0.0355094,4.10256,1
0.00723546,-0.0393041,4.35897,1
0.00741824,-0.0432111,4.61538,1
0.00758011,-0.0472203,4.87179,1
0.00772209,-0.0513221,5.12821,1
0.00784522,-0.0555071,5.38462,1
0.00795055,-0.0597667,5.64103,1
0.0080391,-0.0640926,5.89744,1
0.00811193,-0.068477,6.15385,1
0.00817005,-0.0729127,6.41026,1
0.00821451,-0.0773927,6.66667,1
0.00824632,-0.0819108,6.92308,1
0.0082665,-0.086461,7.17949,1
0.00827607,-0.0910379,7.4359,1
0.00827604,-0.0956366,7.69231,1
0.0082674,-0.100253,7.94872,1
0.00825115,-0.104882,8.20513,1
0.00822827,-0.109521,8.46154,1
0.00819972,-0.114167,8.71795,1
0.0081665,-0.118817,8.97436,1
0.00812954,-0.123469,9.23077,1
0.0080898,-0.128122,9.48718,1
0.00804827,-0.132773,9.74359,1
0.00800606,-0.137424,10,1
