sxx,sxy,syy,x,y
-10.4355,0.114095,-0.000285441,4.03361,0.010101
-10.1428,0.111999,-0.000264788,4.11765,0.010101
-9.85432,0.109827,-0.000242587,4.20168,0.010101
-9.56998,0.107585,-0.000218916,4.28571,0.010101
-9.28979,0.105279,-0.000193853,4.36975,0.010101
-9.01377,0.102916,-0.000167479,4.45378,0.010101
-8.7419,0.100501,-0.000139877,4.53782,0.010101
-8.4742,0.0980399,-0.000111133,4.62185,0.010101
-8.21066,0.0955388,-8.13E-05,4.70588,0.010101
-7.95127,0.0930027,-5.06E-05,4.78992,0.010101
-7.69605,0.0904369,-1.89E-05,4.87395,0.010101
-7.44498,0.0878465,1.35E-05,4.95798,0.010101
-7.19807,0.0852363,4.67E-05,5.04202,0.010101
-6.95532,0.0826111,8.05E-05,5.12605,0.010101
-6.71673,0.0799754,0.000114778,5.21008,0.010101
-6.48229,0.0773337,0.000149533,5.29412,0.010101
-6.25201,0.0746902,0.00018465,5.37815,0.010101
-6.02589,0.072049,0.000220044,5.46218,0.010101
-5.80393,0.0694142,0.000255633,5.54622,0.010101
-5.58612,0.0667895,0.000291335,5.63025,0.010101
-5.37247,0.0641785,0.000327072,5.71429,0.010101
-5.16297,0.0615849,0.000362764,5.79832,0.010101
-4.95763,0.059012,0.000398337,5.88235,0.010101
-4.75644,0.0564631,0.000433716,5.96639,0.010101
-4.5594,0.0539413,0.000468828,6.05042,0.010101
-4.36653,0.0514496,0.000503605,6.13445,0.010101
-4.1778,0.048991,0.000537979,6.21849,0.010101
-3.99323,0.0465681,0.000571885,6.30252,0.010101
-3.81282,0.0441835,0.000605259,6.38655,0.010101
-3.63655,0.0418399,0.000638041,6.47059,0.010101
-3.46444,0.0395396,0.000670174,6.55462,0.010101
-3.29649,0.0372848,0.000701601,6.63866,0.010101
-3.13268,0.0350778,0.00073227,6.72269,0.010101
-2.97303,0.0329206,0.000762129,6.80672,0.010101
-2.81754,0.0308152,0.000791131,6.89076,0.010101
-2.66619,0.0287635,0.00081923,6.97479,0.010101
-2.51899,0.0267671,0.000846382,7.05882,0.010101
-2.37595,0.0248278,0.000872548,7.14286,0.010101
-2.23706,0.0229472,0.000897688,7.22689,0.010101
-2.10232,0.0211266,0.000921766,7.31092,0.010101
-1.97174,0.0193676,0.000944749,7.39496,0.010101
-1.8453,0.0176714,0.000966605,7.47899,0.010101
-1.72302,0.0160392,0.000987306,7.56303,0.010101
-1.60488,0.0144722,0.00100682,7.64706,0.010101
-1.4909,0.0129714,0.00102513,7.73109,0.010101
-1.38107,0.0115379,0.00104221,7.81513,0.010101
-1.27538,0.0101725,0.00105804,7.89916,0.010101
-1.17385,0.00887606,0.0010726,7.98319,0.010101
-1.07647,0.00764939,0.00108587,8.06723,0.010101
-0.98324,0.00649319,0.00109784,8.15126,0.010101
-0.894159,0.00540811,0.00110849,8.23529,0.010101
-0.809229,0.00439475,0.00111782,8.31933,0.010101
-0.728448,0.00345364,0.0011258,8.40336,0.010101
-0.651817,0.00258525,0.00113244,8.48739,0.010101
-0.579336,0.00179002,0.00113773,8.57143,0.010101
-0.511004,0.00106832,0.00114166,8.65546,0.010101
-0.446822,0.000420483,0.00114423,8.7395,0.010101
-0.386789,-0.000153189,0.00114542,8.82353,0.010101
-0.330905,-0.000652407,0.00114525,8.90756,0.010101
-0.279171,-0.00107684,0.00114371,8.9916,0.010101
-0.231589,-0.00142602,0.00114079,9.07563,0.010101
-0.188164,-0.00169916,0.00113646,9.15966,0.010101
-0.148909,-0.00189477,0.00113069,9.2437,0.010101
-0.113847,-0.00201008,0.00112336,9.32773,0.010101
-0.0830275,-0.00203999,0.00111424,9.41176,0.010101
-0.0565401,-0.00197549,0.00110288,9.4958,0.010101
-0.0345435,-0.00180152,0.00108838,9.57983,0.010101
-0.0172997,-0.00149474,0.00106898,9.66387,0.010101
-0.00520182,-0.00102413,0.00104159,9.7479,0.010101
0.00126848,-0.000367426,0.00100502,9.83193,0.010101
0.00195924,0.000369181,0.000978747,9.91597,0.010101
1.16E-06,0.000213089,0.00107273,10,0.010101
