x,y,ux,uy
1.2,0.2,-0.00171797,-0.00391191
1.3,0.2,-0.00184517,-0.004532
1.4,0.2,-0.00196978,-0.0051931
1.5,0.2,-0.00209185,-0.00589424
1.6,0.2,-0.00221143,-0.00663451
1.7,0.2,-0.00232855,-0.00741298
1.8,0.2,-0.00244325,-0.00822874
1.9,0.2,-0.00255558,-0.0090809
2,0.2,-0.00266557,-0.00996856
2.1,0.2,-0.00277325,-0.0108909
2.2,0.2,-0.00287867,-0.0118469
2.3,0.2,-0.00298186,-0.0128359
2.4,0.2,-0.00308285,-0.0138569
2.5,0.2,-0.00318168,-0.0149092
2.6,0.2,-0.00327838,-0.0159919
2.7,0.2,-0.00337299,-0.0171041
2.8,0.2,-0.00346554,-0.0182452
2.9,0.2,-0.00355605,-0.0194143
3,0.2,-0.00364457,-0.0206106
3.1,0.2,-0.00373111,-0.0218334
3.2,0.2,-0.00381572,-0.0230818
3.3,0.2,-0.00389841,-0.0243553
3.4,0.2,-0.00397923,-0.0256529
3.5,0.2,-0.0040582,-0.026974
3.6,0.2,-0.00413534,-0.028318
3.7,0.2,-0.00421069,-0.029684
3.8,0.2,-0.00428428,-0.0310713
3.9,0.2,-0.00435612,-0.0324794
4,0.2,-0.00442626,-0.0339076
4.1,0.2,-0.00449471,-0.035355
4.2,0.2,-0.0045615,-0.0368213
4.3,0.2,-0.00462666,-0.0383056
4.4,0.2,-0.00469022,-0.0398073
4.5,0.2,-0.00475221,-0.0413259
4.6,0.2,-0.00481264,-0.0428608
4.7,0.2,-0.00487154,-0.0444113
4.8,0.2,-0.00492895,-0.0459768
4.9,0.2,-0.00498488,-0.0475568
5,0.2,-0.00503937,-0.0491508
5.1,0.2,-0.00509244,-0.0507581
5.2,0.2,-0.00514411,-0.0523783
5.3,0.2,-0.00519441,-0.0540107
5.4,0.2,-0.00524336,-0.055655
5.5,0.2,-0.005291,-0.0573105
5.6,0.2,-0.00533734,-0.0589768
5.7,0.2,-0.00538242,-0.0606534
5.8,0.2,-0.00542626,-0.0623398
5.9,0.2,-0.00546888,-0.0640356
6,0.2,-0.00551031,-0.0657403
6.1,0.2,-0.00555057,-0.0674534
6.2,0.2,-0.0055897,-0.0691745
6.3,0.2,-0.00562772,-0.0709033
6.4,0.2,-0.00566465,-0.0726393
6.5,0.2,-0.00570053,-0.074382
6.6,0.2,-0.00573537,-0.0761312
6.7,0.2,-0.0057692,-0.0778864
6.8,0.2,-0.00580206,-0.0796473
6.9,0.2,-0.00583396,-0.0814135
7,0.2,-0.00586493,-0.0831846
7.1,0.2,-0.00589501,-0.0849604
7.2,0.2,-0.00592422,-0.0867405
7.3,0.2,-0.00595258,-0.0885246
7.4,0.2,-0.00598012,-0.0903124
7.5,0.2,-0.00600688,-0.0921036
7.6,0.2,-0.00603287,-0.093898
7.7,0.2,-0.00605814,-0.0956952
7.8,0.2,-0.00608269,-0.097495
7.9,0.2,-0.00610657,-0.0992972
8,0.2,-0.00612981,-0.101101
8.1,0.2,-0.00615242,-0.102908
8.2,0.2,-0.00617444,-0.104716
8.3,0.2,-0.0061959,-0.106525
8.4,0.2,-0.00621683,-0.108336
8.5,0.2,-0.00623726,-0.110147
8.6,0.2,-0.00625722,-0.11196
