x,y,sxx,sxy,syx,syy
5.9,0.2,-3.03792,-0.34557,-0.34557,0.0216973
6,0.2,-2.89208,-0.338093,-0.338093,0.0215379
6.1,0.2,-2.74983,-0.330591,-0.330591,0.0213669
6.2,0.2,-2.61118,-0.323064,-0.323064,0.021185
6.3,0.2,-2.47612,-0.315507,-0.315507,0.0209925
6.4,0.2,-2.34466,-0.307918,-0.307918,0.02079
6.5,0.2,-2.21679,-0.300294,-0.300294,0.0205779
6.6,0.2,-2.09252,-0.292633,-0.292633,0.0203566
6.7,0.2,-1.97184,-0.284933,-0.284933,0.0201266
6.8,0.2,-1.85476,-0.277191,-0.277191,0.0198882
6.9,0.2,-1.74127,-0.269404,-0.269404,0.019642
7,0.2,-1.63138,-0.261573,-0.261573,0.0193883
7.1,0.2,-1.52509,-0.253693,-0.253693,0.0191275
7.2,0.2,-1.42239,-0.245764,-0.245764,0.01886
7.3,0.2,-1.32329,-0.237784,-0.237784,0.0185861
7.4,0.2,-1.22778,-0.229752,-0.229752,0.0183062
7.5,0.2,-1.13587,-0.221666,-0.221666,0.0180207
7.6,0.2,-1.04756,-0.213524,-0.213524,0.0177298
7.7,0.2,-0.962845,-0.205327,-0.205327,0.0174339
7.8,0.2,-0.881726,-0.197072,-0.197072,0.0171333
7.9,0.2,-0.804204,-0.188759,-0.188759,0.0168283
8,0.2,-0.730279,-0.180386,-0.180386,0.0165192
8.1,0.2,-0.659951,-0.171954,-0.171954,0.0162063
8.2,0.2,-0.59322,-0.16346,-0.16346,0.0158897
8.3,0.2,-0.530086,-0.154905,-0.154905,0.0155699
8.4,0.2,-0.47055,-0.146288,-0.146288,0.015247
8.5,0.2,-0.414611,-0.137609,-0.137609,0.0149213
8.6,0.2,-0.362271,-0.128866,-0.128866,0.0145929
8.7,0.2,-0.313527,-0.12006,-0.12006,0.0142619
8.8,0.2,-0.268382,-0.111189,-0.111189,0.0139281
8.9,0.2,-0.226835,-0.102253,-0.102253,0.0135906
9,0.2,-0.188885,-0.0932504,-0.0932504,0.0132469
9.1,0.2,-0.154531,-0.0841759,-0.0841759,0.0128918
9.2,0.2,-0.123766,-0.0750214,-0.0750214,0.012514
9.3,0.2,-0.0965755,-0.0657707,-0.0657707,0.0120928
9.4,0.2,-0.0729269,-0.0563956,-0.0563956,0.0115937
9.5,0.2,-0.0527508,-0.0468543,-0.0468543,0.0109699
9.6,0.2,-0.0359157,-0.0371021,-0.0371021,0.0101875
9.7,0.2,-0.0222019,-0.0271409,-0.0271409,0.00932857
9.8,0.2,-0.0113422,-0.0171489,-0.0171489,0.00891399
9.9,0.2,-0.00335105,-0.00767337,-0.00767337,0.0107721
10,0.2,0.00042577,0.00046459,0.00046459,0.0199456
0,0.3,-10.5232,0.784039,0.784039,-4.50754
0.1,0.3,-11.33,-0.808447,-0.808447,-2.46623
0.2,0.3,-11.6889,-1.2836,-1.2836,-0.977173
0.3,0.3,-11.5916,-1.30653,-1.30653,-0.254356
0.4,0.3,-11.3009,-1.24836,-1.24836,-0.00109983
0.5,0.3,-10.9814,-1.2009,-1.2009,0.0541132
0.6,0.3,-10.6863,-1.16932,-1.16932,0.0467499
0.7,0.3,-10.4206,-1.1466,-1.1466,0.0283809
0.8,0.3,-10.1769,-1.12787,-1.12787,0.014044
0.9,0.3,-9.94714,-1.11084,-1.11084,0.0057639
1,0.3,-9.72589,-1.09457,-1.09457,0.0020382
1.1,0.3,-9.50999,-1.0787,-1.0787,0.0010613
1.2,0.3,-9.29778,-1.06313,-1.06313,0.00153334
1.3,0.3,-9.08847,-1.04782,-1.04782,0.00267924
1.4,0.3,-8.88172,-1.03275,-1.03275,0.00408717
1.5,0.3,-8.67737,-1.01792,-1.01792,0.00555788
1.6,0.3,-8.47539,-1.00332,-1.00332,0.00700392
1.7,0.3,-8.27577,-0.988934,-0.988934,0.00839166
1.8,0.3,-8.0785,-0.974763,-0.974763,0.00971124
1.9,0.3,-7.88359,-0.960792,-0.960792,0.0109621
2,0.3,-7.69104,-0.94701,-0.94701,0.0121467
2.1,0.3,-7.50086,-0.93341,-0.93341,0.0132681
2.2,0.3,-7.31304,-0.919981,-0.919981,0.0143292
2.3,0.3,-7.1276,-0.906716,-0.906716,0.0153323
2.4,0.3,-6.94452,-0.893607,-0.893607,0.0162794
2.5,0.3,-6.76381,-0.880646,-0.880646,0.0171725
2.6,0.3,-6.58548,-0.867826,-0.867826,0.0180132
2.7,0.3,-6.40952,-0.855139,-0.855139,0.018803
2.8,0.3,-6.23593,-0.842578,-0.842578,0.0195433
2.9,0.3,-6.06471,-0.830137,-0.830137,0.0202357
3,0.3,-5.89587,-0.817809,-0.817809,0.0208815
3.1,0.3,-5.72941,-0.805588,-0.805588,0.021482
3.2,0.3,-5.56532,-0.793466,-0.793466,0.0220387
3.3,0.3,-5.4036,-0.781439,-0.781439,0.0225527
3.4,0.3,-5.24427,-0.7695,-0.7695,0.0230253
3.5,0.3,-5.08731,-0.757643,-0.757643,0.0234579
3.6,0.3,-4.93274,-0.745863,-0.745863,0.0238516
3.7,0.3,-4.78054,-0.734155,-0.734155,0.0242076
3.8,0.3,-4.63072,-0.722512,-0.722512,0.0245272
3.9,0.3,-4.48328,-0.710931,-0.710931,0.0248114
4,0.3,-4.33823,-0.699405,-0.699405,0.0250614
4.1,0.3,-4.19555,-0.687931,-0.687931,0.0252782
4.2,0.3,-4.05526,-0.676504,-0.676504,0.0254631
4.3,0.3,-3.91735,-0.665119,-0.665119,0.025617
4.4,0.3,-3.78183,-0.653772,-0.653772,0.025741
4.5,0.3,-3.64869,-0.642458,-0.642458,0.0258361
4.6,0.3,-3.51793,-0.631174,-0.631174,0.0259033
4.7,0.3,-3.38956,-0.619916,-0.619916,0.0259436
4.8,0.3,-3.26358,-0.60868,-0.60868,0.0259579
4.9,0.3,-3.13998,-0.597462,-0.597462,0.0259472
5,0.3,-3.01877,-0.586259,-0.586259,0.0259124
5.1,0.3,-2.89994,-0.575068,-0.575068,0.0258543
5.2,0.3,-2.7835,-0.563885,-0.563885,0.025774
5.3,0.3,-2.66945,-0.552707,-0.552707,0.0256722
5.4,0.3,-2.55779,-0.541531,-0.541531,0.0255498
5.5,0.3,-2.44852,-0.530355,-0.530355,0.0254076
5.6,0.3,-2.34164,-0.519176,-0.519176,0.0252464
5.7,0.3,-2.23714,-0.507991,-0.507991,0.025067
5.8,0.3,-2.13504,-0.496797,-0.496797,0.0248702
5.9,0.3,-2.03532,-0.485593,-0.485593,0.0246567
6,0.3,-1.938,-0.474376,-0.474376,0.0244273
6.1,0.3,-1.84307,-0.463143,-0.463143,0.0241827
