x,y,sxx,sxy,syy
5.63025,0.010101,-55.9472,-0.267269,0.0100335
5.71429,0.010101,-53.8093,-0.262129,0.0100335
5.79832,0.010101,-51.7128,-0.256989,0.0100335
5.88235,0.010101,-49.6579,-0.251849,0.0100335
5.96639,0.010101,-47.6444,-0.24671,0.0100335
6.05042,0.010101,-45.6725,-0.24157,0.0100335
6.13445,0.010101,-43.7421,-0.23643,0.0100335
6.21849,0.010101,-41.8532,-0.23129,0.0100335
6.30252,0.010101,-40.0059,-0.22615,0.0100335
6.38655,0.010101,-38.2,-0.221011,0.0100335
6.47059,0.010101,-36.4357,-0.215871,0.0100335
6.55462,0.010101,-34.7128,-0.210731,0.0100335
6.63866,0.010101,-33.0315,-0.205591,0.0100335
6.72269,0.010101,-31.3917,-0.200452,0.0100335
6.80672,0.010101,-29.7934,-0.195312,0.0100335
6.89076,0.010101,-28.2366,-0.190172,0.0100335
6.97479,0.010101,-26.7214,-0.185032,0.0100335
7.05882,0.010101,-25.2476,-0.179892,0.0100335
7.14286,0.010101,-23.8154,-0.174753,0.0100335
7.22689,0.010101,-22.4247,-0.169613,0.0100335
7.31092,0.010101,-21.0755,-0.164473,0.0100335
7.39496,0.010101,-19.7678,-0.159333,0.0100335
7.47899,0.010101,-18.5016,-0.154194,0.0100335
7.56303,0.010101,-17.277,-0.149054,0.0100335
7.64706,0.010101,-16.0938,-0.143914,0.0100335
7.73109,0.010101,-14.9522,-0.138774,0.0100335
7.81513,0.010101,-13.8521,-0.133634,0.0100335
7.89916,0.010101,-12.7934,-0.128495,0.0100335
7.98319,0.010101,-11.7764,-0.123355,0.0100335
8.06723,0.010101,-10.8008,-0.118215,0.0100335
8.15126,0.010101,-9.86671,-0.113075,0.0100335
8.23529,0.010101,-8.97416,-0.107936,0.0100335
8.31933,0.010101,-8.12312,-0.102796,0.0100335
8.40336,0.010101,-7.3136,-0.0976561,0.0100335
8.48739,0.010101,-6.54559,-0.0925165,0.0100335
8.57143,0.010101,-5.81909,-0.0873769,0.0100335
8.65546,0.010101,-5.13411,-0.0822376,0.0100335
8.7395,0.010101,-4.49063,-0.0770984,0.0100335
8.82353,0.010101,-3.88866,-0.0719594,0.0100336
8.90756,0.010101,-3.32821,-0.0668201,0.0100336
8.9916,0.010101,-2.80927,-0.0616796,0.0100337
9.07563,0.010101,-2.33187,-0.0565354,0.0100338
9.15966,0.010101,-1.89607,-0.0513819,0.0100338
9.2437,0.010101,-1.50198,-0.0462078,0.0100336
9.32773,0.010101,-1.14984,-0.0409904,0.0100328
9.41176,0.010101,-0.840157,-0.0356881,0.0100305
9.4958,0.010101,-0.573821,-0.0302274,0.0100246
9.57983,0.010101,-0.352429,-0.0244862,0.0100112
9.66387,0.010101,-0.178609,-0.0182788,0.00998142
9.7479,0.010101,-0.0563058,-0.0113674,0.00991915
9.83193,0.010101,0.00966292,-0.00362116,0.00982718
9.91597,0.010101,0.0178769,0.00386586,0.00984656
10,0.010101,3.91E-05,0.00191619,0.0107354
0,0.020202,-339.091,-65.8773,-90.7275
0.0840336,0.020202,-287.82,-2.28863,5.33464
0.168067,0.020202,-272.515,-0.74778,0.816833
0.252101,0.020202,-268.14,-0.533453,0.0857572
0.336134,0.020202,-265.101,-0.653096,0.042783
0.420168,0.020202,-261.823,-0.812525,0.0360401
0.504202,0.020202,-258.144,-0.933824,0.0302575
0.588235,0.020202,-254.149,-1.01133,0.0259578
0.672269,0.020202,-249.952,-1.05514,0.0231401
0.756303,0.020202,-245.644,-1.07631,0.0214192
0.840336,0.020202,-241.289,-1.08344,0.0204239
0.92437,0.020202,-236.925,-1.08236,0.0198762
1.0084,0.020202,-232.577,-1.07675,0.0195894
1.09244,0.020202,-228.256,-1.06874,0.019447
1.17647,0.020202,-223.97,-1.05954,0.0193806
1.2605,0.020202,-219.722,-1.04978,0.0193522
1.34454,0.020202,-215.514,-1.03978,0.0193415
1.42857,0.020202,-211.347,-1.02969,0.0193385
1.51261,0.020202,-207.22,-1.01957,0.0193385
1.59664,0.020202,-203.133,-1.00945,0.0193392
1.68067,0.020202,-199.088,-0.999337,0.0193401
1.76471,0.020202,-195.083,-0.989229,0.0193407
1.84874,0.020202,-191.118,-0.979127,0.0193411
1.93277,0.020202,-187.195,-0.969029,0.0193414
2.01681,0.020202,-183.312,-0.958932,0.0193415
2.10084,0.020202,-179.47,-0.948837,0.0193416
2.18487,0.020202,-175.668,-0.938742,0.0193416
2.26891,0.020202,-171.907,-0.928648,0.0193417
2.35294,0.020202,-168.187,-0.918554,0.0193417
2.43697,0.020202,-164.508,-0.90846,0.0193417
2.52101,0.020202,-160.869,-0.898366,0.0193417
2.60504,0.020202,-157.271,-0.888272,0.0193417
2.68908,0.020202,-153.713,-0.878178,0.0193417
2.77311,0.020202,-150.196,-0.868084,0.0193417
2.85714,0.020202,-146.72,-0.85799,0.0193417
2.94118,0.020202,-143.284,-0.847896,0.0193417
3.02521,0.020202,-139.889,-0.837802,0.0193417
3.10924,0.020202,-136.535,-0.827708,0.0193417
3.19328,0.020202,-133.221,-0.817614,0.0193417
3.27731,0.020202,-129.948,-0.80752,0.0193417
3.36134,0.020202,-126.716,-0.797426,0.0193417
3.44538,0.020202,-123.524,-0.787332,0.0193417
3.52941,0.020202,-120.373,-0.777238,0.0193417
3.61345,0.020202,-117.263,-0.767144,0.0193417
3.69748,0.020202,-114.193,-0.75705,0.0193417
3.78151,0.020202,-111.164,-0.746956,0.0193417
3.86555,0.020202,-108.176,-0.736862,0.0193417
3.94958,0.020202,-105.228,-0.726768,0.0193417
4.03361,0.020202,-102.321,-0.716674,0.0193417
4.11765,0.020202,-99.4549,-0.70658,0.0193417
4.20168,0.020202,-96.6292,-0.696486,0.0193417
4.28571,0.020202,-93.8441,-0.686392,0.0193417
