ux,uy,x,y
0.00132804,-0.0236795,3.07692,0.6
0.00139926,-0.0272441,3.33333,0.6
0.00146522,-0.0309819,3.58974,0.6
0.00152612,-0.0348798,3.84615,0.6
0.00158217,-0.0389251,4.10256,0.6
0.00163357,-0.0431055,4.35897,0.6
0.00168051,-0.0474095,4.61538,0.6
0.00172321,-0.0518258,4.87179,0.6
0.00176186,-0.0563439,5.12821,0.6
0.00179666,-0.0609535,5.38462,0.6
0.00182783,-0.0656452,5.64103,0.6
0.00185556,-0.0704098,5.89744,0.6
0.00188005,-0.0752388,6.15385,0.6
0.0019015,-0.0801242,6.41026,0.6
0.00192013,-0.0850583,6.66667,0.6
0.00193612,-0.0900343,6.92308,0.6
0.00194968,-0.0950456,7.17949,0.6
0.00196103,-0.100086,7.4359,0.6
0.00197034,-0.105151,7.69231,0.6
0.00197784,-0.110234,7.94872,0.6
0.00198372,-0.115333,8.20513,0.6
0.00198818,-0.120441,8.46154,0.6
0.00199143,-0.125558,8.71795,0.6
0.00199367,-0.130678,8.97436,0.6
0.00199509,-0.135801,9.23077,0.6
0.00199591,-0.140924,9.48718,0.6
0.00199629,-0.146046,9.74359,0.6
0.0019964,-0.151167,10,0.6
0,0,0,0.7
0.000277331,-0.000234101,0.25641,0.7
0.000565079,-0.00087099,0.512821,0.7
0.000836258,-0.00186001,0.769231,0.7
0.00109175,-0.00318276,1.02564,0.7
0.00133287,-0.00482118,1.28205,0.7
0.00156021,-0.00675742,1.53846,0.7
0.00177419,-0.00897412,1.79487,0.7
0.00197522,-0.0114544,2.05128,0.7
0.00216372,-0.014182,2.30769,0.7
0.00234007,-0.017141,2.5641,0.7
0.00250469,-0.0203161,2.82051,0.7
0.00265799,-0.0236926,3.07692,0.7
0.00280036,-0.0272562,3.33333,0.7
0.00293221,-0.0309931,3.58974,0.7
0.00305394,-0.0348901,3.84615,0.7
0.00316597,-0.0389345,4.10256,0.7
0.00326869,-0.0431142,4.35897,0.7
0.00336251,-0.0474174,4.61538,0.7
0.00344783,-0.051833,4.87179,0.7
0.00352506,-0.0563504,5.12821,0.7
0.0035946,-0.0609594,5.38462,0.7
0.00365686,-0.0656504,5.64103,0.7
0.00371225,-0.0704145,5.89744,0.7
0.00376115,-0.0752429,6.15385,0.7
0.00380399,-0.0801277,6.41026,0.7
0.00384117,-0.0850614,6.66667,0.7
0.00387309,-0.0900369,6.92308,0.7
0.00390015,-0.0950478,7.17949,0.7
0.00392276,-0.100088,7.4359,0.7
0.00394132,-0.105152,7.69231,0.7
0.00395625,-0.110236,7.94872,0.7
0.00396793,-0.115334,8.20513,0.7
0.00397679,-0.120442,8.46154,0.7
0.00398321,-0.125558,8.71795,0.7
0.00398762,-0.130679,8.97436,0.7
0.0039904,-0.135801,9.23077,0.7
0.00399196,-0.140924,9.48718,0.7
0.00399267,-0.146046,9.74359,0.7
0.00399287,-0.151167,10,0.7
0,0,0,0.8
0.000425382,-0.000274209,0.25641,0.8
0.000855573,-0.000912132,0.512821,0.8
0.00126102,-0.00189865,0.769231,0.8
0.00164385,-0.00321915,1.02564,0.8
0.00200532,-0.0048555,1.28205,0.8
0.00234615,-0.00678976,1.53846,0.8
0.00266694,-0.00900453,1.79487,0.8
0.00296832,-0.011483,2.05128,0.8
0.00325088,-0.0142087,2.30769,0.8
0.00351524,-0.017166,2.5641,0.8
0.00376199,-0.0203394,2.82051,0.8
0.00399176,-0.0237143,3.07692,0.8
0.00420514,-0.0272763,3.33333,0.8
0.00440273,-0.0310117,3.58974,0.8
0.00458516,-0.0349073,3.84615,0.8
0.00475302,-0.0389503,4.10256,0.8
0.00490692,-0.0431286,4.35897,0.8
0.00504748,-0.0474306,4.61538,0.8
